Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,3,Average,0.1,extremal_mask,1.0,1.0,0.983,0.01101,0.111,-0.01837,-0.006947
42,3,Average,0.2,extremal_mask,1.0,1.0,0.9813,0.01128,0.1118,-0.01915,-0.007427
42,3,Average,0.3,extremal_mask,1.0,1.0,0.9815,0.01157,0.1121,-0.01951,-0.007896
42,3,Average,0.4,extremal_mask,1.0,1.0,0.9819,0.01181,0.1125,-0.01991,-0.008061
42,3,Average,0.5,extremal_mask,1.0,1.0,0.9813,0.01189,0.1127,-0.0201,-0.008085
42,3,Average,0.6,extremal_mask,1.0,1.0,0.9819,0.0114,0.112,-0.01936,-0.007347
42,3,Zeros,0.1,extremal_mask,1.0,1.0,0.9443,0.08853,0.2476,-0.155,-0.06284
42,3,Zeros,0.2,extremal_mask,1.0,1.0,0.9472,0.08985,0.2585,-0.1658,-0.0629
42,3,Zeros,0.3,extremal_mask,1.0,1.0,0.9511,0.09122,0.2665,-0.1738,-0.06169
42,3,Zeros,0.4,extremal_mask,1.0,1.0,0.9559,0.09211,0.2736,-0.181,-0.06024
42,3,Zeros,0.5,extremal_mask,1.0,1.0,0.9593,0.09016,0.2759,-0.1833,-0.05816
42,3,Zeros,0.6,extremal_mask,1.0,1.0,0.9606,0.07955,0.2649,-0.1723,-0.05457
42,2,Average,0.1,extremal_mask,1.0,1.0,0.9846,0.01128,0.1083,-0.0186,-0.008802
42,2,Average,0.2,extremal_mask,1.0,1.0,0.9837,0.01125,0.1088,-0.01908,-0.008822
42,2,Average,0.3,extremal_mask,1.0,1.0,0.9837,0.01126,0.1087,-0.01904,-0.008939
42,2,Average,0.4,extremal_mask,1.0,1.0,0.9841,0.01122,0.1084,-0.01876,-0.008889
42,2,Average,0.5,extremal_mask,1.0,1.0,0.9839,0.01097,0.108,-0.01829,-0.008615
42,2,Average,0.6,extremal_mask,1.0,1.0,0.9843,0.01039,0.1072,-0.01749,-0.007807
42,2,Zeros,0.1,extremal_mask,1.0,1.0,0.9572,0.08609,0.2523,-0.1626,-0.06209
42,2,Zeros,0.2,extremal_mask,1.0,1.0,0.9611,0.08765,0.2634,-0.1737,-0.06193
42,2,Zeros,0.3,extremal_mask,1.0,1.0,0.9645,0.08983,0.2697,-0.18,-0.06043
42,2,Zeros,0.4,extremal_mask,1.0,1.0,0.9663,0.09204,0.2749,-0.1852,-0.05883
42,2,Zeros,0.5,extremal_mask,1.0,1.0,0.9672,0.09101,0.2752,-0.1855,-0.05648
42,2,Zeros,0.6,extremal_mask,1.0,1.0,0.968,0.08492,0.2663,-0.1766,-0.05304
42,4,Average,0.1,extremal_mask,1.0,1.0,0.9826,0.01181,0.1232,-0.01939,-0.009043
42,4,Average,0.2,extremal_mask,1.0,1.0,0.9817,0.01234,0.1244,-0.02056,-0.009589
42,4,Average,0.3,extremal_mask,1.0,1.0,0.9798,0.01289,0.1251,-0.02132,-0.01009
42,4,Average,0.4,extremal_mask,1.0,1.0,0.9802,0.01321,0.1254,-0.02159,-0.01038
42,4,Average,0.5,extremal_mask,1.0,1.0,0.9815,0.01325,0.1255,-0.02171,-0.0103
42,4,Average,0.6,extremal_mask,1.0,1.0,0.9824,0.01297,0.1251,-0.02127,-0.009608
42,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9348,0.09267,0.3107,-0.2069,-0.07146
42,4,Zeros,0.2,extremal_mask,1.0,1.0,0.94,0.09524,0.3321,-0.2283,-0.07021
42,4,Zeros,0.3,extremal_mask,1.0,1.0,0.9454,0.0978,0.345,-0.2412,-0.06804
42,4,Zeros,0.4,extremal_mask,1.0,1.0,0.9465,0.1009,0.3557,-0.2519,-0.06601
42,4,Zeros,0.5,extremal_mask,1.0,1.0,0.9489,0.1009,0.3596,-0.2558,-0.06338
42,4,Zeros,0.6,extremal_mask,1.0,1.0,0.9517,0.0942,0.3486,-0.2448,-0.05909
42,0,Average,0.1,extremal_mask,1.0,1.0,0.9828,0.00864,0.1125,-0.01451,-0.005555
42,0,Average,0.2,extremal_mask,1.0,1.0,0.9819,0.009001,0.113,-0.01509,-0.006066
42,0,Average,0.3,extremal_mask,1.0,1.0,0.9815,0.009489,0.1137,-0.01575,-0.00655
42,0,Average,0.4,extremal_mask,1.0,1.0,0.9815,0.009461,0.1138,-0.01586,-0.006602
42,0,Average,0.5,extremal_mask,1.0,1.0,0.9819,0.009507,0.1141,-0.01619,-0.006547
42,0,Average,0.6,extremal_mask,1.0,1.0,0.9819,0.008975,0.1135,-0.01554,-0.005756
42,0,Zeros,0.1,extremal_mask,1.0,1.0,0.9515,0.05536,0.2118,-0.1138,-0.05643
42,0,Zeros,0.2,extremal_mask,1.0,1.0,0.9548,0.05744,0.2212,-0.1232,-0.05508
42,0,Zeros,0.3,extremal_mask,1.0,1.0,0.9582,0.05895,0.2295,-0.1316,-0.05267
42,0,Zeros,0.4,extremal_mask,1.0,1.0,0.9591,0.05925,0.2352,-0.1373,-0.05066
42,0,Zeros,0.5,extremal_mask,1.0,1.0,0.9606,0.05737,0.2363,-0.1383,-0.04754
42,0,Zeros,0.6,extremal_mask,1.0,1.0,0.9617,0.0487,0.2263,-0.1283,-0.04201
42,1,Average,0.1,extremal_mask,1.0,1.0,0.9863,0.01089,0.1129,-0.01765,-0.009322
42,1,Average,0.2,extremal_mask,1.0,1.0,0.9856,0.01117,0.1135,-0.01832,-0.009705
42,1,Average,0.3,extremal_mask,1.0,1.0,0.9852,0.01124,0.1135,-0.01826,-0.009885
42,1,Average,0.4,extremal_mask,1.0,1.0,0.9859,0.01117,0.1133,-0.01807,-0.009858
42,1,Average,0.5,extremal_mask,1.0,1.0,0.9856,0.01095,0.1129,-0.01767,-0.009531
42,1,Average,0.6,extremal_mask,1.0,1.0,0.9859,0.01035,0.1121,-0.01684,-0.008568
42,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9391,0.0816,0.2777,-0.1825,-0.06504
42,1,Zeros,0.2,extremal_mask,1.0,1.0,0.9406,0.08306,0.2893,-0.1941,-0.06512
42,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9428,0.08494,0.2947,-0.1995,-0.06388
42,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9461,0.08643,0.2981,-0.2028,-0.06244
42,1,Zeros,0.5,extremal_mask,1.0,1.0,0.9472,0.08517,0.2965,-0.2013,-0.05983
42,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9487,0.07823,0.285,-0.1898,-0.05571
